fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
6.8,0.26,0.34,13.9,34,39,134,0.9949,3.33,0.53,12,6
5.8,0.28,0.35,2.3,53,36,114,0.9924,3.28,0.5,10.2,4
6.4,0.21,0.5,11.6,42,45,153,0.9972,3.15,0.43,8.8,5
7,0.16,0.32,8.3,45,38,126,0.9958,3.21,0.34,9.2,5
10.2,0.44,0.88,6.2,49,20,124,0.9968,2.99,0.51,9.9,4
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
6.1,0.4,0.31,0.9,48,23,170,993,3.22,0.77,9.5,6
5.6,245,0.25,9.7,32,12,68,994,3.31,0.34,10.5,5
6.8,0.18,0.38,1.4,38,35,111,0.9918,3.32,0.59,11.2,7
7,0.16,0.32,8.3,45,38,126,0.9958,3.21,0.34,9.2,5
6.7,0.13,0.29,5.3,51,31,122,0.9944,3.44,0.37,9.7,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
5.8,0.26,0.24,9.2,44,55,152,0.9961,3.31,0.38,9.4,5
7.5,0.27,0.36,7,36,45,164,0.9939,3.03,0.33,11,5
5.8,0.26,0.24,9.2,44,55,152,0.9961,3.31,0.38,9.4,5
5.7,0.28,0.24,17.5,44,60,167,0.9989,3.31,0.44,9.4,5
7.5,0.23,0.36,7,36,43,161,0.9938,3.04,0.32,11,5
7.5,0.27,0.36,7,36,45,164,0.9939,3.03,0.33,11,5
7.2,685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
6.5,0.19,0.3,0.8,43,33,144,0.9936,3.42,0.39,9.1,6
6.3,495,0.22,1.8,46,31,140,0.9929,3.39,0.54,10.4,6
7.1,0.24,0.41,17.8,46,39,145,0.9998,3.32,0.39,8.7,5
6.4,0.17,0.32,2.4,48,41,200,0.9938,3.5,0.5,9.7,6
7.1,0.25,0.32,10.3,41,66,272,0.9969,3.17,0.52,9.1,6
6.4,0.17,0.32,2.4,48,41,200,0.9938,3.5,0.5,9.7,6
7.1,0.24,0.41,17.8,46,39,145,0.9998,3.32,0.39,8.7,5
6.8,0.64,0.08,9.7,62,26,142,0.9972,3.37,0.46,8.9,4
8.3,0.28,0.4,7.8,41,38,194,0.9976,3.34,0.51,9.6,6
8.2,0.27,0.39,7.8,39,49,208,0.9976,3.31,0.51,9.5,6
7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
7.2,0.23,0.38,14.3,58,55,194,0.9979,3.09,0.44,9,6
6.8,0.52,0.32,13.2,44,54,221,0.9972,3.27,0.5,9.6,6
7,0.26,0.59,1.4,37,40,120,0.9918,3.34,0.41,11.1,7
6.2,0.25,0.21,15.55,39,28,159,0.9982,3.48,0.64,9.6,6
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
7.7,0.31,0.26,7.8,31,23,90,0.9944,3.13,0.5,10.4,5
7.1,0.21,0.37,2.4,26,23,100,0.9903,3.15,0.38,11.4,7
6.8,0.24,0.34,2.7,47,64.5,218.5,0.9934,3.3,0.58,9.7,6
6.9,0.4,0.56,11.2,43,40,142,0.9975,3.14,0.46,8.7,5
6.1,0.18,0.36,2,38,20,249.5,0.9923,3.37,0.79,11.3,6
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
5.8,0.2,0.27,1.4,31,12,77,0.9905,3.25,0.36,10.9,7
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
6.1,0.41,0.14,10.4,37,18,119,996,3.38,0.45,10,5
5.9,0.21,0.28,4.6,53,40,199,0.9964,3.72,0.7,10,4
8.5,0.26,0.21,16.2,74,41,197,998,3.02,0.5,9.8,3
6.9,0.4,0.56,11.2,43,40,142,0.9975,3.14,0.46,8.7,5
5.8,0.24,0.44,3.5,29,5,109,0.9913,3.53,0.43,11.7,3
5.8,0.24,0.39,1.5,54,37,158,0.9932,3.21,0.52,9.3,6
6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
6.3,0.35,0.3,5.7,35,8,97,0.9927,3.27,0.41,11,7
6.3,0.35,0.3,5.7,35,8,97,0.9927,3.27,0.41,11,7
6.4,0.23,0.39,1.8,32,23,118,0.9912,3.32,0.5,11.8,6
5.8,0.36,0.38,0.9,37,3,75,0.9904,3.28,0.34,11.4,4
6.9,115,0.35,5.4,48,36,108,0.9939,3.32,0.42,10.2,6
6.9,0.29,0.4,19.45,43,36,156,0.9996,2.93,0.47,8.9,5
6.9,0.28,0.4,8.2,36,15,95,0.9944,3.17,0.33,10.2,5
7.2,0.29,0.4,13.6,45,66,231,0.9977,3.08,0.59,9.6,6
6.2,0.24,0.35,1.2,38,22,167,0.9912,3.1,0.48,10.6,6
6.9,0.29,0.4,19.45,43,36,156,0.9996,2.93,0.47,8.9,5
6.9,0.32,0.26,8.3,53,32,180,0.9965,3.25,0.51,9.2,6
5.3,0.58,0.07,6.9,43,34,149,0.9944,3.34,0.57,9.7,5
5.3,585,0.07,7.1,44,34,145,0.9945,3.34,0.57,9.7,6
5.4,0.59,0.07,7,45,36,147,0.9944,3.34,0.57,9.7,6
6.9,0.32,0.26,8.3,53,32,180,0.9965,3.25,0.51,9.2,6
5.2,0.6,0.07,7,44,33,147,0.9944,3.33,0.58,9.7,5
5.8,0.25,0.26,13.1,51,44,148,0.9972,3.29,0.38,9.3,5
6.6,0.58,0.3,5.1,57,30,123,0.9949,3.24,0.38,9,5
7,0.29,0.54,10.7,46,59,234,0.9966,3.05,0.61,9.5,5
6.6,0.19,0.41,8.9,46,51,169,0.9954,3.14,0.57,9.8,6
6.7,0.2,0.41,9.1,44,50,166,0.9954,3.14,0.58,9.8,6
7.7,0.26,0.4,1.1,42,9,60,0.9915,2.89,0.5,10.6,5
6.8,0.32,0.34,1.2,44,14,67,0.9919,3.05,0.47,10.6,4
7,0.3,0.49,4.7,36,17,105,0.9916,3.26,0.68,12.4,7
7,0.24,0.36,2.8,34,22,112,0.99,3.19,0.38,12.6,8
6.1,0.31,0.58,5,39,36,114,0.9909,3.3,0.6,12.3,8
6.8,0.44,0.37,5.1,47,46,201,0.9938,3.08,0.65,10.5,4
6.7,0.34,0.3,15.6,54,51,196,0.9982,3.19,0.49,9.3,5
7.1,0.35,0.24,15.4,55,46,198,0.9988,3.12,0.49,8.8,5
7.3,0.32,0.25,7.2,56,47,180,0.9961,3.08,0.47,8.8,5
6.5,0.28,0.33,15.7,53,51,190,0.9978,3.22,0.51,9.7,6
7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,58,49,192,0.9979,2.98,0.48,9,7
5.9,0.15,0.31,5.8,41,53,155,0.9945,3.52,0.46,10.5,6
7.4,0.28,0.42,19.8,66,53,195,1,2.96,0.44,9.1,5
6.2,0.28,0.22,7.3,41,26,157,0.9957,3.44,0.64,9.8,7
9.1,0.59,0.38,1.6,66,34,182,0.9968,3.23,0.38,8.5,3
6.3,0.33,0.27,1.2,46,34,175,0.9934,3.37,0.54,9.4,6
8.3,0.39,0.7,10.6,45,33,169,0.9976,3.09,0.57,9.4,5
7.2,0.19,0.46,3.8,41,82,187,0.9932,3.19,0.6,11.2,7
7.5,0.17,0.44,11.3,46,65,146,997,3.17,0.45,10,6
6.7,0.17,0.5,2.1,43,27,122,0.9923,3.15,0.45,10.3,6
6.1,0.41,0,1.6,63,36,87,0.9914,3.27,0.67,10.8,6
8.3,0.2,0.35,0.9,0.05,12,74,992,3.13,0.38,10.5,6
6.1,0.41,0,1.6,63,36,87,0.9914,3.27,0.67,10.8,6
6,0.29,0.21,1.3,55,42,168,0.9914,3.32,0.43,11.1,6
7.3,0.41,0.24,6.8,57,41,163,0.9949,3.2,0.41,9.9,6
7.3,0.41,0.24,6.8,57,41,163,0.9949,3.2,0.41,9.9,6
7.2,0.43,0.24,6.7,58,40,163,995,3.2,0.41,9.9,5
7.3,0.4,0.24,6.7,58,41,166,995,3.2,0.41,9.9,6
6.2,0.33,0.27,4.9,36,30,134,0.9927,3.2,0.42,10.4,7
6.2,0.31,0.26,4.8,37,36,148,0.9928,3.21,0.41,10.4,6
6.1,0.36,0.27,2.1,35,16,100,0.9917,3.4,0.71,11.5,7
5,0.55,0.14,8.3,32,35,164,0.9918,3.53,0.51,12.5,8
7.8,0.25,0.41,3.7,42,37,149,0.9954,3.36,0.45,10,6
5.7,0.36,0.21,6.7,38,51,166,0.9941,3.29,0.63,10,6
5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5
6.8,0.28,0.6,1.1,132,42,127,0.9934,3.09,0.44,9.1,6
6.8,0.25,0.34,4.7,31,34,134,0.9927,3.21,0.38,10.6,6
6.6,0.24,0.35,7.7,31,36,135,0.9938,3.19,0.37,10.5,5
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
6.1,125,0.25,3.3,0.04,10,69,0.9934,3.54,0.59,10.1,6
6,0.1,0.24,1.1,41,15,65,0.9927,3.61,0.61,10.3,7
6.6,0.24,0.35,7.7,31,36,135,0.9938,3.19,0.37,10.5,5
6.8,0.25,0.34,4.7,31,34,134,0.9927,3.21,0.38,10.6,6
6.8,0.28,0.44,9.3,31,35,137,0.9946,3.16,0.36,10.4,6
8.3,0.41,0.51,2,46,11,207,993,3.02,0.55,11.4,5
7.5,0.27,0.31,5.8,57,131,313,0.9946,3.18,0.59,10.5,5
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
6.4,0.34,0.23,6.3,39,37,143,0.9944,3.19,0.65,10,6
6.5,0.28,0.35,15.4,42,55,195,0.9978,3.23,0.5,9.6,6
7.2,0.21,0.41,1.3,36,33,85,992,3.17,0.51,10.4,5
6.4,0.32,0.35,4.8,0.03,34,101,0.9912,3.36,0.6,12.5,8
6.8,0.24,0.34,4.6,32,37,135,0.9927,3.2,0.39,10.6,5
6.3,0.23,0.3,1.8,33,16,91,0.9906,3.28,0.4,11.8,6
6.5,0.28,0.34,9.9,38,30,133,0.9954,3.11,0.44,9.8,5
5.6,0.26,0.26,5.7,31,12,80,0.9923,3.25,0.38,10.8,5
6.3,0.23,0.3,1.8,33,16,91,0.9906,3.28,0.4,11.8,6
6.3,0.23,0.33,1.5,36,15,105,991,3.32,0.42,11.2,6
5.8,0.27,0.27,12.3,45,55,170,0.9972,3.28,0.42,9.3,6
5.9,0.26,0.4,1.3,47,12,139,0.9945,3.45,0.53,10.4,5
6.6,0.18,0.35,1.5,49,49,141,0.9934,3.43,0.85,10.2,7
7.4,0.2,0.43,7.8,45,27,153,0.9964,3.19,0.55,9,7
8,0.24,0.36,1.5,47,17,129,0.9948,3.2,0.54,10,6
6.4,0.26,0.42,9.7,44,30,140,0.9962,3.18,0.47,9.1,6
5.4,0.31,0.47,3,53,46,144,0.9931,3.29,0.76,10,5
5.4,0.29,0.47,3,52,47,145,993,3.29,0.75,10,6
